ZIPCODE,CITY,STATE
10000-0049,MADEUP,QQ
10000-0051,CAMBRIDGE,MA
10000-0100,PORTLAND,ME
10000-0407,MT. LAUREL,NJ
10000-0439,CLEVELAND,OH
10000-1475,MAYWOOD,IL
10000-2241,WEST DESMOINES,IA
10000-2639,BRONX,NY
10000-2726,PALM SPRINGS,CA
10000-2777,ST LOUIS,MO
10000-2814,WASHINGTON,DC
10000-2832,ALEXANDRIA,VA
10000-3681,INDIANAPOLIS,IN
10000-3685,WACO,IN
10000-3867,WINSTON-SALEM,NC
10000-6008,NORFOLK,VA
10000-6360,LEXINGTON,KY
10000-6822,WASHINGTON,DC
10000-7019,SCOTTSDALE,AZ
10000-7217,MERRIAM,KS
10000-7483,ST LOUIS,MO
10000-7913,NASHVILLE,TN
10000-8143,MALDEN,MA
10000-8338,LOS ANGELES,CA
10000-8520,EDINA,MN
10000-8754,STLOUIS,MO
10000-9077,OMAHA,NE
10000-9266,SIOUX FALLS,SD
10000-9449,RICHMOND,VA
10000-9569,DANVILLE,IL
10000-9616,CORPUS CHRISTI,TX
10000-9937,CAGUAS,PR
10010-0010,DAYTON,OH
10010-0079,BALTIMORE,MD
10010-0260,NEW YORK,NY
10010-0484,ATLANTA,GA
10010-0744,COLUMBUS,OH
10010-2880,OWINGS MILLS,MD
10010-3196,LOUISVILLE,KY
10010-3345,HOUSTON,TX
10010-4861,DETROIT,MI
10010-5013,IOWA CITY,IA
10010-5195,BAYSIDE,NY
10010-5210,UNIONVILLE,PA
10010-5288,GREENVILLE,NC
10010-5388,SAGINAW,MI
10010-5417,PINE BLUFF,AR
10010-5742,BOSTON,MA
10010-5948,AKRON,OH
10010-6067,ASTORIA,NY
10010-6144,LITTLE FALLS,NJ
10010-6387,CLEVELAND,OH
10010-6628,HOUSTON,TX
10010-6888,CARRBORO,NC
10010-7455,CLEVELAND,OH
10010-7758,LOMA LINDA,CA
10010-7769,MANHATTAN BEACH,CA
10010-8010,WASHINGTON,DC
10010-8507,LITTLE ROCK,AR
10010-8947,SAN FRANCISCO,CA
10010-8965,CHARLOTTESVILLE,VA
10010-9247,ST LOUIS,MO
10010-9321,SALT LAKE CITY,UT
10010-9370,ALBUQUERQUE,NM
10010-9800,FORT GORDON,GA
10010-9861,ATLANTA,GA
10020-0032,HAZARD,KY
10020-0238,CINCINNATI,OH
10020-0357,SOUTHINGTON,CT
10020-0594,BRONX,NY
10020-0681,EAST MEADOW,NY
10020-0740,NORWALK,CT
10020-0813,PINE BLUFF,CA
10020-0887,LITTLE ROCK,AR
10020-0945,LOS ANGELES,CA
10020-0996,BROWN DEER,WI
10020-1058,PHILADELPHIA,PA
10020-1319,HOUSTON,TX
10020-1367,PITTSBURGH,PA
10020-1474,WILMINGTON,OH
10020-1625,PINE BLUFF,AR
10020-1693,FORT SAM HOUSTO,TX
10020-1766,WORCESTER,MA
10020-1855,WATERTOWN,MA
10020-2048,SOMERSET,NJ
10020-2139,BRONX,NY
10020-2142,DIX HILLS,NJ
10020-2165,MILILANI,HI
10020-2192,DEARBORN,MI
10020-2244,MIAMI BEACH,FL
10020-2414,LEXINGTON,KY
10020-2420,STANFORD,CA
10020-2423,SACRAMENTO,CA
10020-2585,UNIVERSITY HEIG,OH
10020-2590,HOUSTON,TX
10020-2620,JANESVILLE,WI
10020-2624,LEBANON,NH
10020-2697,PROVIDENCE,RI
10020-2729,NEW YORK,NY
10020-2759,BROOKLYN,NY
10020-2793,YORK,PA
10020-2820,BUFFALO,NY
10020-2899,ROCHESTER,NY
10020-3213,EDISON,NJ
10020-3222,DALLAS,TX
10020-3265,OMAHA,NE
10020-3336,NEW HAVEN,CT
10020-3546,BIRMINGHAM,AL
10020-3574,MINNEAPOLIS,MN
