Federal Provider Number,Provider Name,Overall Rating,Health Inspection Rating,QM Rating,Staffing Rating,RN Staffing Rating,Processing Date
15019,MERRY WOOD LODGE CARE AND REHABILITATION CENTER,4,3,4,4,4,4/1/2016
15075,SUMMERFORD NURSING HOME INC,4,3,2,4,3,4/1/2016
15101,ALTOONA  HEALTH & REHAB,5,4,5,4,4,4/1/2016
15116,SIGNATURE HEALTHCARE OF WHITESBURG GARDENS,2,1,5,4,5,4/1/2016
15149,"SOUTHERN CARE, LLC",5,4,5,4,3,4/1/2016
15142,"LINEVILLE HEALTH AND REHABILITATION, LLC",4,3,3,4,4,4/1/2016
15187,"MOUNDVILLE HEALTH AND REHABILITATION, LLC",4,4,3,4,3,4/1/2016
15188,JACKSON HEALTH CARE FACILITY,5,5,4,4,4,4/1/2016
15215,BIBB MED CENTER NURSING HOME,1,1,3,1,1,4/1/2016
15374,CAMDEN NURSING FACILITY INC.,2,2,4,3,2,4/1/2016
15375,"BECKWOOD MANOR, INC",3,2,5,3,3,4/1/2016
15381,WESTMINSTER VILLAGE,4,4,3,4,4,4/1/2016
15382,CANTERBURY HEALTH CARE FACILITY,2,1,5,4,3,4/1/2016
15392,CYPRESS COVE CARE CENTER,4,3,2,4,5,4/1/2016
15400,MEADOWVIEW NURSING CENTER,4,3,2,4,3,4/1/2016
15419,HARTFORD HEALTH CARE,5,4,5,3,4,4/1/2016
15416,ANDALUSIA MANOR,5,3,5,4,3,4/1/2016
15447,MONTROSE BAY HEALTH AND REHABILITATION CENTER,1,2,1,1,2,4/1/2016
15450,WILLOWBROOKE COURT AT MAGNOLIA TRACE,4,4,3,4,4,4/1/2016
15453,"COLUMBIANA HEALTH AND REHABILITATION, LLC",5,4,5,4,4,4/1/2016
25015,WRANGELL MEDICAL CENTER LTC,4,2,5,5,5,4/1/2016
25019,PETERSBURG MEDICAL CENTER LTC,5,4,4,5,5,4/1/2016
25026,QUYANNA CARE CENTER,4,3,2,5,5,4/1/2016
25031,SOUTH PENINSULA HOSPITAL LTC,5,4,4,5,5,4/1/2016
25037,YUKON KUSKOKWIM ELDER'S HOME,2,1,3,5,5,4/1/2016
35070,CASAS ADOBES POST ACUTE REHAB CENTER,3,2,2,4,4,4/1/2016
35068,PUEBLO SPRINGS REHABILITATION CENTER,5,3,5,4,4,4/1/2016
35144,PLAZA DEL RIO CARE CENTER,4,3,3,4,4,4/1/2016
35242,CHINLE NURSING HOME,2,1,3,4,4,4/1/2016
35263,ARCHIE HENDRICKS SENIOR SKILLED NURSING FACILITY,2,1,5,4,4,4/1/2016
35277,"HAVEN OF LAKESIDE, LLC",2,2,3,3,4,4/1/2016
35283,SANTE OF CHANDLER,4,4,3,4,4,4/1/2016
45139,MCGEHEE HEALTH AND REHABILITATION CENTER,3,2,3,4,4,4/1/2016
45178,GENERAL BAPTIST NURSING HOME OF PIGGOTT,4,4,3,3,1,4/1/2016
45198,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,2,1,3,5,5,4/1/2016
45244,LITTLE RIVER NURSING & REHAB,5,4,5,2,1,4/1/2016
45248,SOUTHFORK RIVER THERAPY AND LIVING,4,3,5,3,3,4/1/2016
45254,VILLAGE SPRINGS HEALTH AND REHABILITATION,2,1,5,4,4,4/1/2016
45275,"GRACE POINT, LLC",5,4,5,4,4,4/1/2016
45301,OAK MANOR NURSING AND REHABILITATION CENTER INC,5,5,3,3,2,4/1/2016
45304,"BEEBE RETIREMENT CENTER, INC.",5,4,5,4,4,4/1/2016
45305,SOUTHERN TRACE REHABILITATION AND CARE CENTER,2,2,3,3,2,4/1/2016
45312,MONETTE MANOR LLC,5,5,5,3,2,4/1/2016
45346,DIERKS HEALTH AND REHAB CENTER,1,2,1,2,1,4/1/2016
45366,"HERITAGE SQUARE NURSING AND REHABILITATION CENTER,",5,5,5,3,2,4/1/2016
45365,DEWITT NURSING HOME,2,1,2,4,4,4/1/2016
45391,THREE RIVERS HEALTHCARE AND REHABILITATION,4,3,5,3,3,4/1/2016
45383,WALDRON NURSING CENTER INC,5,5,3,4,3,4/1/2016
45414,OZARK HEALTH NURSING AND REHAB  CENTER,4,4,2,4,3,4/1/2016
45407,THE MAPLES AT HAR-BER MEADOWS,5,5,2,4,3,4/1/2016
45425,STONERIDGE NURSING & REHABILITATION  CENTER,2,1,5,4,3,4/1/2016
45437,"STONEGATE VILLA HEALTH AND REHABILITATION, LLC",4,3,5,3,3,4/1/2016
45443,RANDOLPH COUNTY NURSING HOME,3,4,1,2,2,4/1/2016
45448,"DEERVIEW, LLC",2,1,3,4,3,4/1/2016
45456,PINK BUD HOME FOR THE GOLDEN YEARS,4,3,5,3,2,4/1/2016
04A293,ARKANSAS HEALTH CENTER,4,4,2,,,4/1/2016
45457,STAGECOACH NURSING AND REHABILITATION CENTER,2,1,5,4,3,4/1/2016
55084,RIVERBANK NURSING CENTER,3,4,2,1,1,4/1/2016
55162,MONTEREY PARK CONV HOSP,4,2,5,4,4,4/1/2016
55168,SOCAL POST-ACUTE CARE,5,4,5,4,4,4/1/2016
55185,GARDEN CITY HEALTHCARE CENTER,4,4,4,4,4,4/1/2016
55256,LOMPOC VALLEY MEDICAL CENTER COMPREHENSIVE CARE CE,4,3,3,4,4,4/1/2016
55261,PILGRIM PLACE HSC,5,3,5,4,4,4/1/2016
55293,SANTA ANITA CONVALESCENT HOSP,2,1,5,4,3,4/1/2016
55305,SHERWOOD HEALTHCARE CENTER,5,5,3,5,5,4/1/2016
55308,WINDSOR ELK GROVE CARE AND REHABILITATION CENTER,4,3,5,3,3,4/1/2016
55408,BELLFLOWER CONVALESCENT HOSPITAL,1,1,3,3,2,4/1/2016
55401,MEADOWBROOK HEALTH CARE CENTER,3,2,5,3,1,4/1/2016
55466,"SEQUOIAS, THE",5,4,3,5,5,4/1/2016
55457,INTERCOMMUNITY HEALTHCARE & REHABILITATION CENTER,5,4,5,3,3,4/1/2016
55525,CRENSHAW NURSING HOME,5,4,5,2,1,4/1/2016
55540,SANTA MONICA HEALTH CARE CENTER,4,4,3,3,3,4/1/2016
55571,BUENA PARK NURSING CENTER,2,1,5,3,2,4/1/2016
55575,PACIFIC HAVEN SUBACUTE AND HEALTHCARE CENTER,5,3,5,4,4,4/1/2016
55617,EISENHOWER HEALTHCARE CENTER,2,2,3,3,2,4/1/2016
55649,TULARE NURSING & REHABILITATION CENTER,2,2,4,3,2,4/1/2016
55706,THE ORCHARD - POST ACUTE CARE,2,1,5,4,4,4/1/2016
55798,VASONA CREEK HEALTHCARE CENTER,5,4,5,5,5,4/1/2016
55887,RIVER BEND NURSING CENTER,1,1,1,4,3,4/1/2016
55992,WEST COVINA HEALTHCARE CENTER,4,3,4,4,3,4/1/2016
56019,GARDENA CONVALESCENT CENTER,3,2,5,2,2,4/1/2016
56077,THE TAMALPAIS,5,4,5,5,5,4/1/2016
56079,"GLENDORA GRAND, INC",2,1,5,4,3,4/1/2016
56155,OAKDALE NURSING AND REHABILITATION CENTER,5,5,4,4,5,4/1/2016
56169,ALAMITOS WEST HEALTH CARE CENTER,2,2,4,3,3,4/1/2016
56286,MAYFLOWER GARDENS CONV HOSP,3,3,2,2,2,4/1/2016
56283,BIXBY KNOLLS TOWERS HEALTH CARE & REHAB CENTER,5,4,5,3,3,4/1/2016
